Year,Month, CerroPrieto.EvaporationRate,Riego.FractionalReturnFlow,CerroPrieto.Release,LaBoca.Release,LaBoca.Evaporation,PozosAreaMetropolitana.Percolation,AreaMetropolitanadeMonterrey.FractionalReturnFlow,AreaMetropolitanadeMonterrey.AvailableSupplementalWater, DR031.FractionalReturnFlow,DR031.Diversion,ElCuchillo.EvaporationRate,AcueductoRegionalChinaAldama.FractionalReturnFlow,AcueductoRegionalChinaAldama.Diversion,DR026.Diversion,DR026.FractionalReturnFlow
8,6,0.21046,1,0.75,0,0.311,2.01369863,0.71,0.26,1,2,-0.01705,1,0.339,35,1
8,7,0.25568,1,0.75,0,0.4765,2.080821918,0.71,0.26,1,2,-0.12668,1,0.339,35,1
8,8,0.05055,1,0.75,0,0.4979,2.080821918,0.71,0.26,1,2,0.03969,1,0.339,35,1
8,9,0.08608,1,0.75,0,0.467,2.01369863,0.71,0.26,1,2,0.09118,1,0.339,35,1
8,10,0.08615,1,0.75,0,0.276,2.080821918,0.71,0.26,1,2,0.10884,1,0.339,35,1
8,11,0.02505,1,0.75,0,0.181,2.01369863,0.71,0.26,1,2,0.07164,1,0.339,35,1
8,12,-0.07373,1,0.75,0,0.119,2.080821918,0.71,0.26,1,2,0.11399,1,0.339,35,1
9,1,0.08599,1,0.75,0,0.188,2.080821918,0.71,0.26,1,2,0.04049,1,0.339,35,1
9,2,0.10939,1,0.75,0,0.215,1.879452055,0.71,0.26,1,2,-0.05102,1,0.339,35,1
9,3,0.10142,1,0.75,0,0.292,2.080821918,0.71,0.26,1,2,0.1456,1,0.339,35,1
9,4,0.01226,1,0.75,0,0.34,2.01369863,0.71,0.26,1,2,0.16818,1,0.339,35,1
9,5,0.20687,1,0.75,0,0.339,2.080821918,0.71,0.26,1,2,0.16425,1,0.339,35,1
9,6,0.33959,1,0.75,0,0.412,2.01369863,0.71,0.26,1,2,0.19846,1,0.339,35,1
9,7,0.22701,1,0.75,0,0.461,2.080821918,0.71,0.26,1,2,-0.08021,1,0.339,35,1
9,8,0.19395,1,0.75,0,0.498,2.080821918,0.71,0.26,1,2,0.15411,1,0.339,35,1
9,9,0.11119,1,0.75,0,0.301,2.01369863,0.71,0.26,1,2,0.10745,1,0.339,35,1
9,10,0.08212,1,0.75,0,0.293,2.080821918,0.71,0.26,1,2,0.09338,1,0.339,35,1
9,11,0.0522,1,0.75,0,0.198,2.01369863,0.71,0.26,1,2,0.09205,1,0.339,35,1
9,12,0.074,1,0.75,0,0.146,2.080821918,0.71,0.26,1,2,0.02208,1,0.339,35,1
10,1,0.07843,1,0.75,0,0.127,2.075136612,0.71,0.26,1,2,0.13898,1,0.339,35,1
10,2,0.1429,1,0.75,0,0.158,1.941256831,0.71,0.26,1,2,0.22561,1,0.339,35,1
10,3,0.18631,1,0.75,0,0.295,2.075136612,0.71,0.26,1,2,0.04517,1,0.339,35,1
10,4,0.06377,1,0.75,0,0.317,2.008196721,0.71,0.26,1,2,0.26658,1,0.339,35,1
10,5,0.116,1,0.75,0,0.233,2.075136612,0.71,0.26,1,2,-0.08498,1,0.339,35,1
10,6,0.33206,1,0.75,0,0.316,2.008196721,0.71,0.26,1,2,0.2468,1,0.339,35,1
10,7,0.31494,1,0.75,0,0.319,2.075136612,0.71,0.26,1,2,0.00338,1,0.339,35,1
10,8,-0.30028,1,0.75,0,0.301,2.075136612,0.71,0.26,1,2,0.06681,1,0.339,35,1
10,9,0.14596,1,0.75,0,0.377,2.008196721,0.71,0.26,1,2,0.0944,1,0.339,35,1
10,10,0.06204,1,0.75,0,0.366,2.075136612,0.71,0.26,1,2,0.04556,1,0.339,35,1
10,11,0.08044,1,0.75,0,0.44,2.008196721,0.71,0.26,1,2,0.11665,1,0.339,35,1
10,12,0.03779,1,0.75,0,0.268,2.075136612,0.71,0.26,1,2,0.10427,1,0.339,35,1
11,1,0.08855,1,0.75,0,0.26,2.080821918,0.71,0.26,1,2,0.15226,1,0.339,35,1
11,2,0.13001,1,0.75,0,0.311,1.879452055,0.71,0.26,1,2,0.21763,1,0.339,35,1
11,3,0.11948,1,0.75,0,0.597,2.080821918,0.71,0.26,1,2,0.11163,1,0.339,35,1
11,4,0.16911,1,0.75,0,0.542,2.01369863,0.71,0.26,1,2,0.20386,1,0.339,35,1
11,5,0.20328,1,0.75,0,0.733,2.080821918,0.71,0.26,1,2,0.20521,1,0.339,35,1
11,6,0.2603,1,0.75,0,0.648,2.01369863,0.71,0.26,1,2,0.22066,1,0.339,35,1
11,7,0.13796,1,0.75,0,0.628,2.080821918,0.71,0.26,1,2,-0.14263,1,0.339,35,1
11,8,0.07035,1,0.75,0,0.454,2.080821918,0.71,0.26,1,2,0.06704,1,0.339,35,1
11,9,0.10107,1,0.75,0,0.377,2.01369863,0.71,0.26,1,2,0.09571,1,0.339,35,1
11,10,0.11276,1,0.75,0,0.322,2.080821918,0.71,0.26,1,2,-0.00445,1,0.339,35,1
11,11,0.03796,1,0.75,0,0.262,2.01369863,0.71,0.26,1,2,0.14756,1,0.339,35,1
11,12,0,1,0.75,0,0.258,2.080821918,0.71,0.26,1,2,-0.18126,1,0.339,35,1
12,1,0.13659,1,0.75,0,0.225,2.080821918,0.71,0.26,1,2,0.03591,1,0.339,35,1
12,2,0.21195,1,0.75,0,0.292,1.879452055,0.71,0.26,1,2,0.08595,1,0.339,35,1
12,3,0.24958,1,0.75,0,0.27,2.080821918,0.71,0.26,1,2,0.14195,1,0.339,35,1
12,4,0.29677,1,0.75,0,0.262,2.01369863,0.71,0.26,1,2,0.09097,1,0.339,35,1
12,5,0.30754,1,0.75,0,0.358,2.080821918,0.71,0.26,1,2,0.09872,1,0.339,35,1
12,6,-0.10054,1,0.75,0,0.424,2.01369863,0.71,0.26,1,2,0.02713,1,0.339,35,1
12,7,-0.05174,1,0.75,0,0.318,2.080821918,0.71,0.26,1,2,0.12158,1,0.339,35,1
12,8,0,1,0.75,0,0.297,2.080821918,0.71,0.26,1,2,0.19402,1,0.339,35,1
12,9,0.17423,1,0.75,0,0.176,2.01369863,0.71,0.26,1,2,0.18384,1,0.339,35,1
12,10,0.16697,1,0.75,0,0.299,2.080821918,0.71,0.26,1,2,0.22046,1,0.339,35,1
12,11,0.13002,1,0.75,0,0.215,2.01369863,0.71,0.26,1,2,0.27606,1,0.339,35,1
12,12,0.11899,1,0.75,0,0.228,2.080821918,0.71,0.26,1,2,0.04729,1,0.339,35,1
13,1,0.16403,1,0.75,0,0.597,2.080821918,0.71,0.26,1,2,0.0124,1,0.339,35,1
13,2,0.20252,1,0.75,0,0.27,1.879452055,0.71,0.26,1,2,-0.10004,1,0.339,35,1
13,3,0.21727,1,0.75,0,0.561,2.080821918,0.71,0.26,1,2,0.14088,1,0.339,35,1
13,4,0.23188,1,0.75,0,0.447,2.01369863,0.71,0.26,1,2,0.07855,1,0.339,35,1
13,5,0.1295,1,0.75,0,0.399,2.080821918,0.71,0.26,1,2,0.0753,1,0.339,35,1
13,6,-0.13766,1,0.75,0,0.465,2.01369863,0.71,0.26,1,2,0.09077,1,0.339,35,1
13,7,-0.05222,1,0.75,0,0.427,2.080821918,0.71,0.26,1,2,0.11029,1,0.339,35,1
13,8,0.03975,1,0.75,0,0.46,2.080821918,0.71,0.26,1,2,0.16571,1,0.339,35,1
13,9,0.18222,1,0.75,0,0.234,2.01369863,0.71,0.26,1,2,0.22168,1,0.339,35,1
13,10,0.06006,1,0.75,0,0.269,2.080821918,0.71,0.26,1,2,0.17309,1,0.339,35,1
13,11,0.10644,1,0.75,0,0.178,2.01369863,0.71,0.26,1,2,0.25943,1,0.339,35,1
13,12,0.04106,1,0.75,0,0.14,2.080821918,0.71,0.26,1,2,0.30225,1,0.339,35,1
14,1,0.05952,1,0.75,0,0.098,2.075136612,0.71,0.26,1,2,0.22233,1,0.339,35,1
14,2,0.16947,1,0.75,0,0.23,1.941256831,0.71,0.26,1,2,0.06479,1,0.339,35,1
14,3,0.08181,1,0.75,0,0.339,2.075136612,0.71,0.26,1,2,0.0949,1,0.339,35,1
14,4,0.21966,1,0.75,0,0.369,2.008196721,0.71,0.26,1,2,0.03751,1,0.339,35,1
14,5,0.16859,1,0.75,0,0.309,2.075136612,0.71,0.26,1,2,0.0252,1,0.339,35,1
14,6,-0.03752,1,0.75,0,0.529,2.008196721,0.71,0.26,1,2,0.02434,1,0.339,35,1
14,7,0.06015,1,0.75,0,0.575,2.075136612,0.71,0.26,1,2,0.03091,1,0.339,35,1
14,8,0.01285,1,0.75,0,0.492,2.075136612,0.71,0.26,1,2,0.12926,1,0.339,35,1
14,9,0.15085,1,0.75,0,0.315,2.008196721,0.71,0.26,1,2,-0.01249,1,0.339,35,1
14,10,0.0209,1,0.75,0,0.186,2.075136612,0.71,0.26,1,2,0.16101,1,0.339,35,1
14,11,0.01574,1,0.75,0,0.166,2.008196721,0.71,0.26,1,2,0.05649,1,0.339,35,1
14,12,0.15533,1,0.75,0,0.111,2.075136612,0.71,0.26,1,2,-0.07753,1,0.339,35,1
15,1,0.11725,1,0.75,0,0.16,2.080821918,0.71,0.26,1,2,0.20892,1,0.339,35,1
15,2,0.20493,1,0.75,0,0.179,1.879452055,0.71,0.26,1,2,0.09978,1,0.339,35,1
15,3,0.23047,1,0.75,0,0.314,2.080821918,0.71,0.26,1,2,0.13011,1,0.339,35,1
15,4,0.2455,1,0.75,0,0.372,2.01369863,0.71,0.26,1,2,0.13239,1,0.339,35,1
15,5,0.21194,1,0.75,0,0.322,2.080821918,0.71,0.26,1,2,0.08625,1,0.339,35,1
15,6,-0.14347,1,0.75,0,0.341,2.01369863,0.71,0.26,1,2,0.0533,1,0.339,35,1
15,7,0.01376,1,0.75,0,0.748,2.080821918,0.71,0.26,1,2,0.11148,1,0.339,35,1
15,8,0.02459,1,0.75,0,0.654,2.080821918,0.71,0.26,1,2,0.16687,1,0.339,35,1
15,9,0.15972,1,0.75,0,0.437,2.01369863,0.71,0.26,1,2,0.2751,1,0.339,35,1
15,10,0.15791,1,0.75,0,0.416,2.080821918,0.71,0.26,1,2,0.27744,1,0.339,35,1
15,11,0.13991,1,0.75,0,0.255,2.01369863,0.71,0.26,1,2,0.2616,1,0.339,35,1
15,12,0.14545,1,0.75,0,0.228,2.080821918,0.71,0.26,1,2,0.26124,1,0.339,35,1
16,1,0.14858,1,0.75,0,0.197,2.080821918,0.71,0.26,1,2,0.30794,1,0.339,35,1
16,2,0.18952,1,0.75,0,0.253,1.879452055,0.71,0.26,1,2,0.21026,1,0.339,35,1
16,3,0.21181,1,0.75,0,0.394,2.080821918,0.71,0.26,1,2,0.21627,1,0.339,35,1
16,4,0.23301,1,0.75,0,0.465,2.01369863,0.71,0.26,1,2,0.16528,1,0.339,35,1
16,5,0.13613,1,0.75,0,0.4,2.080821918,0.71,0.26,1,2,0.04732,1,0.339,35,1
16,6,0.03816,1,0.75,0,0.526,2.01369863,0.71,0.26,1,2,0.10115,1,0.339,35,1
16,7,0.01158,1,0.75,0,0.607,2.080821918,0.71,0.26,1,2,-0.01081,1,0.339,35,1
16,8,0.1151,1,0.75,0,0.433,2.080821918,0.71,0.26,1,2,0.18654,1,0.339,35,1
16,9,0.14936,1,0.75,0,0.355,2.01369863,0.71,0.26,1,2,0.12159,1,0.339,35,1
16,10,0.18698,1,0.75,0,0.282,2.080821918,0.71,0.26,1,2,0.22011,1,0.339,35,1
16,11,0.17036,1,0.75,0,0.219,2.01369863,0.71,0.26,1,2,0.21426,1,0.339,35,1
16,12,0.11932,1,0.75,0,0.14,2.080821918,0.71,0.26,1,2,0.32947,1,0.339,35,1
17,1,0.15266,1,0.75,0,0.182,2.080821918,0.71,0.26,1,2,0.28596,1,0.339,35,1
17,2,0.19532,1,0.75,0,0.211,1.879452055,0.71,0.26,1,2,0.19379,1,0.339,35,1
17,3,0.21774,1,0.75,0,0.285,2.080821918,0.71,0.26,1,2,0.17755,1,0.339,35,1
17,4,0.16193,1,0.75,0,0.376,2.01369863,0.71,0.26,1,2,0.06957,1,0.339,35,1
17,5,0.20274,1,0.75,0,0.356,2.080821918,0.71,0.26,1,2,0.10341,1,0.339,35,1
17,6,0.35534,1,0.75,0,0.342,2.01369863,0.71,0.26,1,2,0.3078,1,0.339,35,1
17,7,0.13994,1,0.75,0,0.448,2.080821918,0.71,0.26,1,2,0.30294,1,0.339,35,1
17,8,0.14811,1,0.75,0,0.41,2.080821918,0.71,0.26,1,2,0.31414,1,0.339,35,1
17,9,-0.00107,1,0.75,0,0.48,2.01369863,0.71,0.26,1,2,0.27456,1,0.339,35,1
17,10,0.04501,1,0.75,0,0.337,2.080821918,0.71,0.26,1,2,0.21677,1,0.339,35,1
17,11,0.04307,1,0.75,0,0.246,2.01369863,0.71,0.26,1,2,0.16528,1,0.339,35,1
17,12,0.06999,1,0.75,0,0.173,2.080821918,0.71,0.26,1,2,0.08162,1,0.339,35,1
18,1,0.12697,1,0.75,0,0.206,2.075136612,0.71,0.26,1,2,0.10215,1,0.339,35,1
18,2,0.09834,1,0.75,0,0.335,1.941256831,0.71,0.26,1,2,0.08449,1,0.339,35,1
